Characterized BldgSF,Material type,Total Pounds/Day,LBS/DAY/SF,NZPBldgType, BldgType Installation Total SF , BldgTypeLb/DaySF 
"50,819",#1,3.11,0.0000612,UEPH,227275.96,13.90873135
"50,819",#2,3.35,0.0000659,UEPH,227275.96,14.98207396
"50,819",#3,2.6,0.0000512,UEPH,227275.96,11.6278783
"50,819",#4,1.91,0.0000376,UEPH,227275.96,8.542018287
"50,819",#5,0.48,0.0000094,UEPH,227275.96,2.146685224
"50,819",#6,2.15,0.0000423,UEPH,227275.96,9.615360899
"50,819",#7,3.88,0.0000763,UEPH,227275.96,17.35237223
"50,819",Aluminum,1.43,0.0000281,UEPH,227275.96,6.395333063
"50,819",Corr. Cardboard,10.2,0.0002007,UEPH,227275.96,45.61706101
"50,819",Food,45.41,0.0008936,UEPH,227275.96,203.0853667
"50,819",Glass,6.93,0.0001364,UEPH,227275.96,30.99276792
"50,819",Mixed Paper,0.24,0.0000047,UEPH,227275.96,1.073342612
"50,819",Non-recyclable MSW,10.56,0.0002078,UEPH,227275.96,47.22707493
"50,819",Paperboard,2.87,0.0000565,UEPH,227275.96,12.83538874
"50,819",Soiled Paper,5.02,0.0000988,UEPH,227275.96,22.45074963
"50,819",Steel / Ferrous,2.63,0.0000518,UEPH,227275.96,11.76204612
"50,819",White Paper,0.24,0.0000047,UEPH,227275.96,1.073342612
"49,264",#1,3.21,0.0000652,UEPH,"123,160",8.027472527
"49,264",#2,1.7,0.0000345,UEPH,"123,160",4.246153846
"49,264",#3,3.6,0.0000731,UEPH,"123,160",9
"49,264",#4,0.64,0.000013,UEPH,"123,160",1.605494505
"49,264",#5,1.5,0.0000304,UEPH,"123,160",3.746153846
"49,264",#6,2.14,0.0000435,UEPH,"123,160",5.351648352
"49,264",#7,1.07,0.0000217,UEPH,"123,160",2.675824176
"49,264",Aluminum,21.78,0.0004422,UEPH,"123,160",54.45769231
"49,264",Corr. Cardboard,10.08,0.0002047,UEPH,"123,160",25.21098901
